Recording	Participant	Timeline	TOI	Interval	Media	AOI	Total_duration_of_fixations	Number_of_fixations	Time_to_first_fixation	Total_duration_of_whole_fixations	Average_duration_of_whole_fixations	Minimum_duration_of_whole_fixations	Maximum_duration_of_whole_fixations	Number_of_whole_fixations	Time_to_first_whole_fixation	Duration_of_first_whole_fixation	Total_duration_of_Visit	Average_duration_of_Visit	Minimum_duration_of_Visit	Maximum_duration_of_Visit	Number_of_Visits	Time_to_first_Visit	Duration_of_first_Visit	Total_duration_of_Glances	Average_duration_of_Glances	Minimum_duration_of_Glances	Maximum_duration_of_Glances	Number_of_Glances	Time_to_first_Glance	Duration_of_first_Glance	Number_of_mouse_clicks	Time_to_first_mouse_click	Time_from_first_fixation_to_mouse_click	Number_of_mouse_clicks_and_releases	Time_to_first_mouse_click_and_release	Time_from_first_fixation_to_mouse_click_and_release	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Peak_velocity_of_exit_saccade	Character_index	Word_index	Sentence_index	AOI_string	Text_unit_type	Number_of_units	First-pass_first_fixation_duration	First-pass_duration	Go-past_duration	First-pass_regression	Total_duration_of_fixations	Regression-path_duration	Re-reading_duration
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	comprende	616	2	18487	616	308	200	416	2	18487	200	616	308	200	416	2	18487	200	650	325	217	433	2	18470	217	0			0			0	18470	19436	38,89	40,7													
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	comun	0	0		0				0			0				0			0				0			0			0			0																	
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	conquistadores	749	1	35008	749	749	749	749	1	35008	749	749	749	749	749	1	35008	749	783	783	783	783	1	34975	783	0			0			0	34975	35758	37,3	38,88													
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	consideraban	1699	2	21768	1699	849	217	1482	2	21768	217	1699	849	217	1482	2	21768	217	1765	883	250	1516	2	21735	250	0			0			0		21985		30,06													
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	consumo	0	0		0				0			0				0			0				0			0			0			0																	
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	Contenidos	0	0		0				0			0				0			0				0			0			0			0																	
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	convertirse	466	2	44252	466	233	83	383	2	44252	83	466	233	83	383	2	44252	83	533	266	100	433	2	44235	100	0			0			0	57725	58158	387,48	59,95													
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	creciendo	0	0		0				0			0				0			0				0			0			0			0																	
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	curiosidad	650	1	38556	650	650	650	650	1	38556	650	650	650	650	650	1	38556	650	666	666	666	666	1	38539	666	0			0			0	38539	39205	575,85	39,72													
Recording3	Participant3	Timeline2-Mode2	PatataOscuro	1	PatataOscuro	de	0	0		0				0			0				0			0				0			0			0			0																	
