AOI,Claro Mean,Claro Std,Claro Max,Claro Min,Claro Count,Oscuro Mean,Oscuro Std,Oscuro Max,Oscuro Min,Oscuro Count,T-stat,P-value,Significant
la,335.69,230.50,899.00,117.00,13,183.64,72.16,350.00,71.00,14,2.1882,0.0459,Yes
a,219.80,51.00,283.00,133.00,5,144.50,38.00,183.00,67.00,6,2.4572,0.0427,Yes
