AOI,Scenario,Oscuro_Total,Oscuro_Mean,Claro_Total,Claro_Mean,t_statistic,p_value,Significant,Difference_%
expandio,Overall,0.0,0.0,18.0,0.5294117647058824,-3.584823780670612,0.0006405018126449289,Yes,-100.0
Opciones_Disponibles,Overall,21.0,0.6176470588235294,0.0,0.0,3.546578567193418,0.0007236857656185667,Yes,0.0
España,Overall,0.0,0.0,17.0,0.5,-3.530816713830763,0.0007608719532012898,Yes,-100.0
conveniencia,Overall,17.0,0.5,0.0,0.0,3.530816713830763,0.0007608719532012898,Yes,0.0
bolsillos,Overall,11.0,0.3235294117647059,0.0,0.0,3.526932425840988,0.0007703107960591696,Yes,0.0
Dedicado1,Overall,11.0,0.3235294117647059,0.0,0.0,3.526932425840988,0.0007703107960591696,Yes,0.0
Caracteristicas,Overall,11.0,0.3235294117647059,0.0,0.0,3.526932425840988,0.0007703107960591696,Yes,0.0
principio,Overall,0.0,0.0,11.0,0.3235294117647059,-3.5269324258409886,0.0007703107960591698,Yes,-100.0
altiplano1,Overall,0.0,0.0,19.0,0.5588235294117647,-3.5135562782183034,0.0008036726061702885,Yes,-100.0
transpirables,Overall,19.0,0.5588235294117647,0.0,0.0,3.5135562782183034,0.0008036726061702885,Yes,0.0
perfectamente,Overall,31.0,0.9117647058823529,0.0,0.0,3.486435413084958,0.0008755698027055048,Yes,0.0
Ryanair1,Overall,16.0,0.47058823529411764,0.0,0.0,3.4839533628455417,0.0008824459348530403,Yes,0.0
andino,Overall,0.0,0.0,20.0,0.5882352941176471,-3.4704172112928955,0.0009208556148216301,Yes,-100.0
Solanum,Overall,0.0,0.0,20.0,0.5882352941176471,-3.4704172112928955,0.0009208556148216301,Yes,-100.0
mochila2,Overall,12.0,0.35294117647058826,0.0,0.0,3.446737587922818,0.0009918854763369225,Yes,0.0
trasladada,Overall,0.0,0.0,21.0,0.6176470588235294,-3.4467375879228177,0.0009918854763369244,Yes,-100.0
viajes,Overall,12.0,0.35294117647058826,0.0,0.0,3.4467375879228177,0.0009918854763369244,Yes,0.0
francés,Overall,0.0,0.0,12.0,0.35294117647058826,-3.4467375879228177,0.0009918854763369244,Yes,-100.0
alimentacion,Overall,0.0,0.0,24.0,0.7058823529411765,-3.4467375879228173,0.0009918854763369246,Yes,-100.0
elementos,Overall,15.0,0.4411764705882353,0.0,0.0,3.446737587922817,0.0009918854763369268,Yes,0.0
diferentes,Overall,9.0,0.2647058823529412,0.0,0.0,3.446737587922817,0.0009918854763369268,Yes,0.0
Mochila,Overall,9.0,0.2647058823529412,0.0,0.0,3.446737587922817,0.0009918854763369268,Yes,0.0
aerolíneas,Overall,14.0,0.4117647058823529,0.0,0.0,3.42306752845278,0.0010680499600756968,Yes,0.0
papa2,Overall,0.0,0.0,14.0,0.4117647058823529,-3.42306752845278,0.0010680499600756968,Yes,-100.0
hombros,Overall,14.0,0.4117647058823529,0.0,0.0,3.42306752845278,0.0010680499600756968,Yes,0.0
genero,Overall,0.0,0.0,14.0,0.4117647058823529,-3.42306752845278,0.0010680499600756968,Yes,-100.0
principal1,Overall,14.0,0.4117647058823529,0.0,0.0,3.42306752845278,0.0010680499600756968,Yes,0.0
diseñada1,Overall,13.0,0.38235294117647056,0.0,0.0,3.419330913990494,0.0010805678477453973,Yes,0.0
pasaporte,Overall,13.0,0.38235294117647056,0.0,0.0,3.419330913990494,0.0010805678477453973,Yes,0.0
separar,Overall,13.0,0.38235294117647056,0.0,0.0,3.419330913990494,0.0010805678477453973,Yes,0.0
Imagen,Overall,0.0,0.0,55.0,1.6176470588235294,-3.4131438156094998,0.0011016006363580794,Yes,-100.0
articulos1,Overall,19.0,0.5588235294117647,0.0,0.0,3.395943140877023,0.0011621264896545414,Yes,0.0
BritishAirways,Overall,21.0,0.6176470588235294,0.0,0.0,3.354880089903872,0.0013195710942697828,Yes,0.0
principal,Overall,16.0,0.47058823529411764,0.0,0.0,3.325295719637075,0.0014452557585289412,Yes,0.0
amplio1,Overall,16.0,0.47058823529411764,0.0,0.0,3.325295719637075,0.0014452557585289412,Yes,0.0
Durabilidad,Overall,19.0,0.5588235294117647,0.0,0.0,3.2894016914536928,0.0016129016865478341,Yes,0.0
familia,Overall,0.0,0.0,19.0,0.5588235294117647,-3.2894016914536928,0.0016129016865478341,Yes,-100.0
comenzó,Overall,0.0,0.0,22.0,0.6470588235294118,-3.2762586844969883,0.0016787427931211078,Yes,-100.0
mucho1,Overall,10.0,0.29411764705882354,0.0,0.0,3.273268353539886,0.0016940722415513542,Yes,0.0
paraguas,Overall,15.0,0.4411764705882353,0.0,0.0,3.2732683535398857,0.0016940722415513545,Yes,0.0
bolsillo1,Overall,10.0,0.29411764705882354,0.0,0.0,3.2732683535398857,0.0016940722415513545,Yes,0.0
mucho,Overall,15.0,0.4411764705882353,0.0,0.0,3.2732683535398857,0.0016940722415513545,Yes,0.0
Andes,Overall,0.0,0.0,10.0,0.29411764705882354,-3.2732683535398857,0.0016940722415513545,Yes,-100.0
aereos,Overall,0.0,0.0,10.0,0.29411764705882354,-3.2732683535398857,0.0016940722415513545,Yes,-100.0
mojados,Overall,14.0,0.4117647058823529,0.0,0.0,3.2299006276534463,0.0019317236704651133,Yes,0.0
escritos,Overall,0.0,0.0,14.0,0.4117647058823529,-3.2299006276534463,0.0019317236704651133,Yes,-100.0
nombre,Overall,0.0,0.0,14.0,0.4117647058823529,-3.2299006276534463,0.0019317236704651133,Yes,-100.0
resistente,Overall,23.0,0.6764705882352942,0.0,0.0,3.2225595334237727,0.0019749280016623885,Yes,0.0
TiraDeMochilas,Overall,81.0,2.3823529411764706,0.0,0.0,3.204766444465039,0.002083438227599998,Yes,0.0
los3,Overall,0.0,0.0,11.0,0.3235294117647059,-3.203869768108962,0.0020890519333858575,Yes,-100.0
region,Overall,0.0,0.0,11.0,0.3235294117647059,-3.203869768108962,0.0020890519333858575,Yes,-100.0
acolchado,Overall,11.0,0.3235294117647059,0.0,0.0,3.203869768108962,0.0020890519333858575,Yes,0.0
trasero,Overall,11.0,0.3235294117647059,0.0,0.0,3.203869768108962,0.0020890519333858575,Yes,0.0
cabina2,Overall,11.0,0.3235294117647059,0.0,0.0,3.203869768108962,0.0020890519333858575,Yes,0.0
siglo1,Overall,0.0,0.0,11.0,0.3235294117647059,-3.203869768108962,0.0020890519333858575,Yes,-100.0
Qantas,Overall,11.0,0.3235294117647059,0.0,0.0,3.203869768108962,0.0020890519333858575,Yes,0.0
resistente1,Overall,11.0,0.3235294117647059,0.0,0.0,3.203869768108962,0.0020890519333858575,Yes,0.0
compartimento4,Overall,22.0,0.6470588235294118,0.0,0.0,3.2038697681089614,0.0020890519333858623,Yes,0.0
hombros2,Overall,11.0,0.3235294117647059,0.0,0.0,3.2038697681089614,0.0020890519333858623,Yes,0.0
lago,Overall,0.0,0.0,11.0,0.3235294117647059,-3.2038697681089614,0.0020890519333858623,Yes,-100.0
malla,Overall,11.0,0.3235294117647059,0.0,0.0,3.2038697681089614,0.0020890519333858623,Yes,0.0
Ryanair,Overall,13.0,0.38235294117647056,0.0,0.0,3.198910364942378,0.0021203577367244087,Yes,0.0
patata,Overall,0.0,0.0,13.0,0.38235294117647056,-3.198910364942378,0.0021203577367244087,Yes,-100.0
lateral,Overall,13.0,0.38235294117647056,0.0,0.0,3.198910364942378,0.0021203577367244087,Yes,0.0
tiempo,Overall,13.0,0.38235294117647056,0.0,0.0,3.198910364942378,0.0021203577367244087,Yes,0.0
tuberosa,Overall,0.0,0.0,13.0,0.38235294117647056,-3.198910364942378,0.0021203577367244087,Yes,-100.0
conquistadores,Overall,0.0,0.0,24.0,0.7058823529411765,-3.186510027262767,0.0022005697690624993,Yes,-100.0
poliester,Overall,12.0,0.35294117647058826,0.0,0.0,3.186510027262767,0.0022005697690624993,Yes,0.0
capacidad,Overall,20.0,0.5882352941176471,0.0,0.0,3.1865100272627664,0.0022005697690624993,Yes,0.0
traves,Overall,0.0,0.0,8.0,0.23529411764705882,-3.186510027262766,0.0022005697690625037,Yes,-100.0
planta,Overall,0.0,0.0,12.0,0.35294117647058826,-3.186510027262766,0.0022005697690625037,Yes,-100.0
pertenencias1,Overall,16.0,0.47058823529411764,0.0,0.0,3.186510027262766,0.0022005697690625037,Yes,0.0
todo,Overall,0.0,0.0,8.0,0.23529411764705882,-3.186510027262766,0.0022005697690625037,Yes,-100.0
ajusta,Overall,8.0,0.23529411764705882,0.0,0.0,3.186510027262766,0.0022005697690625037,Yes,0.0
frontal,Overall,17.0,0.5,0.0,0.0,3.1372129770160484,0.002548425685309626,Yes,0.0
MochilaPrincipal,Overall,38.0,1.1176470588235294,0.0,0.0,3.124860652630875,0.002643314625786887,Yes,0.0
